Risk Category,Risk ID,Risk Indicator,Company,Value,Standardized Value
1. Hypercompetitive behavior,1.06,"Total investments made by the company, amount ($)",Anthropic,10000000.0,1.3046314416177431
1. Hypercompetitive behavior,1.07,"Investments made by the company, count",Anthropic,1.0,20.0
1. Hypercompetitive behavior,1.08,"Revenue growth rate (YoY, %)",Anthropic,3.57,100.0
1. Hypercompetitive behavior,1.09,Anti-competition: News based index,Anthropic,100.0,0.0
2. ​Lack of compliance and safety practices,2.01,"""Safety"" head-count as a share of total staff",Anthropic,0.021570319240724764,0.0
2. ​Lack of compliance and safety practices,2.02,Number of initiatives related to AI safety annually,Anthropic,6.0,33.33333333333334
2. ​Lack of compliance and safety practices,2.03,Publication of safety-related research findings annually,Anthropic,9.0,0.0
2. ​Lack of compliance and safety practices,2.04,Involved in military-related industries,Anthropic,1.0,100.0
2. ​Lack of compliance and safety practices,2.05,Risk Assessment,Anthropic,2.67,0.0
2. ​Lack of compliance and safety practices,2.06,Current Safety Levels,Anthropic,2.83,0.0
2. ​Lack of compliance and safety practices,2.07,Quality of Responsible Scaling Policy (RSP),Anthropic,1.67,-2.842170943040401e-14
2. ​Lack of compliance and safety practices,2.08,Governance & Accountability,Anthropic,2.42,2.842170943040401e-14
2. ​Lack of compliance and safety practices,2.09,Transparency & Communications,Anthropic,1.63,26.90582959641256
2. ​Lack of compliance and safety practices,2.1,Existential Safety Strategy,Anthropic,1.57,99.99999999999997
3. Lack of commitment to emerging standards,3.01,Effective implementation of agreement in place with AISI,Anthropic,1.0,0.0
3. Lack of commitment to emerging standards,3.02,Endorsement of G7 Hiroshima Code of Conduct,Anthropic,1.0,0.0
3. Lack of commitment to emerging standards,3.03,Endorsement of UN Global Digital Compact,Anthropic,0.0,100.0
3. Lack of commitment to emerging standards,3.04,Effective implementation of Frontier AI Safety Commitments*,Anthropic,90.44160093023255,0.0
4. Incidents,4.01,AI-related incidents,Anthropic,2.0,0.0
4. Incidents,4.02,Cybersecurity incidents (related to security/safety),Anthropic,0.0,0.0
4. Incidents,4.03,Litigation Frequency as Defendant,Anthropic,1.0,5.555555555555555
4. Incidents,4.04,Common Vulnerabilities and Exposures (CVE),Anthropic,0.0,0.0
4. Incidents,4.05,Outsourcing incidents*,Anthropic,0.0,0.0
1. Hypercompetitive behavior,1.01,Valuation growth (%),Meta AI,0.660456014973626,2.2298724135686623
1. Hypercompetitive behavior,1.02,Market share (revenue),Meta AI,0.0099,100.0
1. Hypercompetitive behavior,1.03,Acceleration (yoy change in model updates frequency),Meta AI,0.68092105,74.14021213723552
1. Hypercompetitive behavior,1.04,"Acquisitions - annual, count",Meta AI,2.0,66.66666666666666
1. Hypercompetitive behavior,1.05,"Acquisitions - annual, cost",Meta AI,16300000000.0,100.0
1. Hypercompetitive behavior,1.06,"Total investments made by the company, amount ($)",Meta AI,0.0,0.0
1. Hypercompetitive behavior,1.07,"Investments made by the company, count",Meta AI,0.0,0.0
1. Hypercompetitive behavior,1.08,"Revenue growth rate (YoY, %)",Meta AI,0.22,0.0
1. Hypercompetitive behavior,1.09,Anti-competition: News based index,Meta AI,100.0,0.0
2. ​Lack of compliance and safety practices,2.01,"""Safety"" head-count as a share of total staff",Meta AI,0.012857142857142857,46.39789170105914
2. ​Lack of compliance and safety practices,2.02,Number of initiatives related to AI safety annually,Meta AI,2.0,77.77777777777777
2. ​Lack of compliance and safety practices,2.03,Publication of safety-related research findings annually,Meta AI,5.0,44.44444444444444
2. ​Lack of compliance and safety practices,2.04,Involved in military-related industries,Meta AI,1.0,100.0
2. ​Lack of compliance and safety practices,2.05,Risk Assessment,Meta AI,1.5,43.82022471910112
2. ​Lack of compliance and safety practices,2.06,Current Safety Levels,Meta AI,1.18,90.1639344262295
2. ​Lack of compliance and safety practices,2.07,Quality of Responsible Scaling Policy (RSP),Meta AI,0.35,100.0
2. ​Lack of compliance and safety practices,2.08,Governance & Accountability,Meta AI,0.8,87.56756756756756
2. ​Lack of compliance and safety practices,2.09,Transparency & Communications,Meta AI,0.0,100.0
2. ​Lack of compliance and safety practices,2.1,Existential Safety Strategy,Meta AI,0.17,0.0
3. Lack of commitment to emerging standards,3.01,Effective implementation of agreement in place with AISI,Meta AI,0.0,100.0
3. Lack of commitment to emerging standards,3.02,Endorsement of G7 Hiroshima Code of Conduct,Meta AI,0.0,100.0
3. Lack of commitment to emerging standards,3.03,Endorsement of UN Global Digital Compact,Meta AI,0.0,100.0
3. Lack of commitment to emerging standards,3.04,Effective implementation of Frontier AI Safety Commitments*,Meta AI,47.1430888372093,47.87455291334803
4. Incidents,4.01,AI-related incidents,Meta AI,22.0,71.42857142857143
4. Incidents,4.02,Cybersecurity incidents (related to security/safety),Meta AI,0.0,0.0
4. Incidents,4.03,Litigation Frequency as Defendant,Meta AI,1.0,5.555555555555555
4. Incidents,4.04,Common Vulnerabilities and Exposures (CVE),Meta AI,1.0,5.555555555555555
4. Incidents,4.05,Outsourcing incidents*,Meta AI,0.0,0.0
1. Hypercompetitive behavior,1.01,Valuation growth (%),x.AI,,
1. Hypercompetitive behavior,1.02,Market share (revenue),x.AI,0.0099,100.0
1. Hypercompetitive behavior,1.03,Acceleration (yoy change in model updates frequency),x.AI,,
1. Hypercompetitive behavior,1.04,"Acquisitions - annual, count",x.AI,1.0,33.33333333333333
1. Hypercompetitive behavior,1.05,"Acquisitions - annual, cost",x.AI,,
1. Hypercompetitive behavior,1.06,"Total investments made by the company, amount ($)",x.AI,0.0,0.0
1. Hypercompetitive behavior,1.07,"Investments made by the company, count",x.AI,0.0,0.0
1. Hypercompetitive behavior,1.08,"Revenue growth rate (YoY, %)",x.AI,,
1. Hypercompetitive behavior,1.09,Anti-competition: News based index,x.AI,100.0,0.0
2. ​Lack of compliance and safety practices,2.01,"""Safety"" head-count as a share of total staff",x.AI,0.01,61.61225200139228
2. ​Lack of compliance and safety practices,2.02,Number of initiatives related to AI safety annually,x.AI,0.0,100.0
2. ​Lack of compliance and safety practices,2.03,Publication of safety-related research findings annually,x.AI,0.0,100.0
2. ​Lack of compliance and safety practices,2.04,Involved in military-related industries,x.AI,0.0,0.0
2. ​Lack of compliance and safety practices,2.05,Risk Assessment,x.AI,0.0,100.0
2. ​Lack of compliance and safety practices,2.06,Current Safety Levels,x.AI,1.0,100.0
2. ​Lack of compliance and safety practices,2.07,Quality of Responsible Scaling Policy (RSP),x.AI,0.35,100.0
2. ​Lack of compliance and safety practices,2.08,Governance & Accountability,x.AI,0.57,100.0
2. ​Lack of compliance and safety practices,2.09,Transparency & Communications,x.AI,2.23,0.0
2. ​Lack of compliance and safety practices,2.1,Existential Safety Strategy,x.AI,0.35,12.85714285714285
3. Lack of commitment to emerging standards,3.01,Effective implementation of agreement in place with AISI,x.AI,0.0,100.0
3. Lack of commitment to emerging standards,3.02,Endorsement of G7 Hiroshima Code of Conduct,x.AI,0.0,100.0
3. Lack of commitment to emerging standards,3.03,Endorsement of UN Global Digital Compact,x.AI,0.0,100.0
3. Lack of commitment to emerging standards,3.04,Effective implementation of Frontier AI Safety Commitments*,x.AI,0.0,100.0
4. Incidents,4.01,AI-related incidents,x.AI,14.0,42.85714285714286
4. Incidents,4.02,Cybersecurity incidents (related to security/safety),x.AI,0.0,0.0
4. Incidents,4.03,Litigation Frequency as Defendant,x.AI,0.0,0.0
4. Incidents,4.04,Common Vulnerabilities and Exposures (CVE),x.AI,4.0,22.22222222222222
4. Incidents,4.05,Outsourcing incidents*,x.AI,0.0,0.0
1. Hypercompetitive behavior,1.01,Valuation growth (%),OpenAI,4.41379310344827,29.73937696836961
1. Hypercompetitive behavior,1.02,Market share (revenue),OpenAI,0.39,0.0
1. Hypercompetitive behavior,1.03,Acceleration (yoy change in model updates frequency),OpenAI,-0.33808127,97.6664901322507
1. Hypercompetitive behavior,1.04,"Acquisitions - annual, count",OpenAI,3.0,100.0
1. Hypercompetitive behavior,1.05,"Acquisitions - annual, cost",OpenAI,119000000.0,0.7300613496932515
1. Hypercompetitive behavior,1.06,"Total investments made by the company, amount ($)",OpenAI,766500000.0,100.0
1. Hypercompetitive behavior,1.07,"Investments made by the company, count",OpenAI,5.0,100.0
1. Hypercompetitive behavior,1.08,"Revenue growth rate (YoY, %)",OpenAI,1.3125,32.61194029850746
1. Hypercompetitive behavior,1.09,Anti-competition: News based index,OpenAI,156.0236011551741,100.0
2. ​Lack of compliance and safety practices,2.01,"""Safety"" head-count as a share of total staff",OpenAI,0.006329113924050633,81.15981618473171
2. ​Lack of compliance and safety practices,2.02,Number of initiatives related to AI safety annually,OpenAI,9.0,0.0
2. ​Lack of compliance and safety practices,2.03,Publication of safety-related research findings annually,OpenAI,7.0,22.22222222222223
2. ​Lack of compliance and safety practices,2.04,Involved in military-related industries,OpenAI,1.0,100.0
2. ​Lack of compliance and safety practices,2.05,Risk Assessment,OpenAI,2.1,21.348314606741567
2. ​Lack of compliance and safety practices,2.06,Current Safety Levels,OpenAI,1.68,62.841530054644814
2. ​Lack of compliance and safety practices,2.07,Quality of Responsible Scaling Policy (RSP),OpenAI,0.9,58.33333333333333
2. ​Lack of compliance and safety practices,2.08,Governance & Accountability,OpenAI,1.43,53.513513513513516
2. ​Lack of compliance and safety practices,2.09,Transparency & Communications,OpenAI,0.88,60.53811659192825
2. ​Lack of compliance and safety practices,2.1,Existential Safety Strategy,OpenAI,0.93,54.285714285714285
3. Lack of commitment to emerging standards,3.01,Effective implementation of agreement in place with AISI,OpenAI,1.0,0.0
3. Lack of commitment to emerging standards,3.02,Endorsement of G7 Hiroshima Code of Conduct,OpenAI,1.0,0.0
3. Lack of commitment to emerging standards,3.03,Endorsement of UN Global Digital Compact,OpenAI,0.0,100.0
3. Lack of commitment to emerging standards,3.04,Effective implementation of Frontier AI Safety Commitments*,OpenAI,74.00396837209303,18.174858017849175
4. Incidents,4.01,AI-related incidents,OpenAI,30.0,100.0
4. Incidents,4.02,Cybersecurity incidents (related to security/safety),OpenAI,2.0,100.0
4. Incidents,4.03,Litigation Frequency as Defendant,OpenAI,18.0,100.0
4. Incidents,4.04,Common Vulnerabilities and Exposures (CVE),OpenAI,18.0,100.0
4. Incidents,4.05,Outsourcing incidents*,OpenAI,1.0,100.0
